task,model,feature_set,candidate_index,validation_rmse,params,random_seed,error
gse,Poisson,target metric,0,144743.68250348145,{'alpha': 0.06500931182664386},40398849,
gse,Poisson,target metric + day of week + season + weather,0,144743.68250348145,{'alpha': 0.0002576814039015596},4169699380,
gse,Poisson,target metric + day of week OHE + season OHE + weather,0,144743.68250348145,{'alpha': 1.9253846099895455},2344120409,
gse,Poisson,target metric + scaled day of week + scaled season + scaled weather,0,144743.68250348145,{'alpha': 1.5558128644775946},985237719,
gse,Poisson,target metric + scaled day of week OHE + scaled season OHE + scaled weather,0,144743.68250348145,{'alpha': 0.006206426492954527},205778044,
gse,Poisson,target metric + day of week,0,144743.68250348145,{'alpha': 2560.7127413729468},1930528671,
gse,Poisson,target metric + day of week OHE,0,144743.68250348145,{'alpha': 0.030225985347232687},177579485,
gse,Poisson,target metric + scaled day of week,0,144743.68250348145,{'alpha': 0.00011445305446571273},2661084611,
gse,Poisson,target metric + scaled day of week OHE,0,144743.68250348145,{'alpha': 0.00011033354390735927},3037719852,
gse,Poisson,target metric + season,0,144743.68250348145,{'alpha': 0.005125909157031869},2886127492,
gse,Poisson,target metric + season OHE,0,144743.68250348145,{'alpha': 0.028312246325899612},2576757239,
gse,Poisson,target metric + scaled season,0,144743.68250348145,{'alpha': 55.0071566616358},3006272266,
gse,Poisson,target metric + scaled season OHE,0,144743.68250348145,{'alpha': 569.5090268964068},667684428,
gse,Poisson,target metric + weather,0,144743.68250348145,{'alpha': 0.0014454724805873249},3824373668,
gse,Poisson,target metric + scaled weather,0,144743.68250348145,{'alpha': 0.00629125010769899},2334749841,
gse,Poisson,target metric + day of week + season,0,144743.68250348145,{'alpha': 1501.3790145906005},3544553455,
gse,Poisson,target metric + day of week OHE + season OHE,0,144743.68250348145,{'alpha': 0.02896898981626492},767034356,
gse,Poisson,target metric + scaled day of week + scaled season,0,144743.68250348145,{'alpha': 0.00014214437733745599},2929988669,
gse,Poisson,target metric + scaled day of week OHE + scaled season OHE,0,144743.68250348145,{'alpha': 0.0006323050471382562},3114342542,
gse,Poisson,target metric + day of week + weather,0,144743.68250348145,{'alpha': 0.004352003119424142},861514441,
gse,Poisson,target metric + day of week OHE + weather,0,144743.68250348145,{'alpha': 0.21807502586728592},3318086890,
gse,Poisson,target metric + scaled day of week + scaled weather,0,144743.68250348145,{'alpha': 494.2753576621808},3687254969,
gse,Poisson,target metric + scaled day of week OHE + scaled weather,0,144743.68250348145,{'alpha': 244.44941780136892},1692397573,
