task,model,feature_set,candidate_index,validation_rmse,params,random_seed,error,selected
gse,kNearestNeighbor,target metric,0,50966.970510146326,"{'n_neighbors': 50, 'weights': 'uniform', 'p': 2}",877443998,,False
gse,kNearestNeighbor,target metric,1,43268.648496355934,"{'n_neighbors': 1, 'weights': 'distance', 'p': 2}",3825069776,,False
gse,kNearestNeighbor,target metric,2,38611.0003003155,"{'n_neighbors': 2, 'weights': 'uniform', 'p': 2}",4111224893,,False
gse,kNearestNeighbor,target metric,3,60378.95776087653,"{'n_neighbors': 99, 'weights': 'uniform', 'p': 2}",3495638668,,False
gse,kNearestNeighbor,target metric,4,37766.4800825913,"{'n_neighbors': 12, 'weights': 'uniform', 'p': 1}",3978477912,,False
gse,kNearestNeighbor,target metric,5,46549.43876331144,"{'n_neighbors': 54, 'weights': 'distance', 'p': 1}",1519219850,,False
gse,kNearestNeighbor,target metric,6,39064.90700623056,"{'n_neighbors': 19, 'weights': 'distance', 'p': 2}",468961097,,False
gse,kNearestNeighbor,target metric,7,49774.66783765919,"{'n_neighbors': 45, 'weights': 'uniform', 'p': 2}",2461698746,,False
gse,kNearestNeighbor,target metric,8,51214.8228543512,"{'n_neighbors': 80, 'weights': 'distance', 'p': 2}",2843829105,,False
gse,kNearestNeighbor,target metric,9,37332.59005306464,"{'n_neighbors': 4, 'weights': 'uniform', 'p': 2}",234508151,,False
gse,kNearestNeighbor,target metric,10,37009.94033943217,"{'n_neighbors': 9, 'weights': 'distance', 'p': 1}",118547697,,False
gse,kNearestNeighbor,target metric,11,37000.3504635994,"{'n_neighbors': 10, 'weights': 'uniform', 'p': 2}",3057490479,,False
gse,kNearestNeighbor,target metric,12,37247.920777560335,"{'n_neighbors': 4, 'weights': 'distance', 'p': 2}",1761432728,,False
gse,kNearestNeighbor,target metric,13,42320.01972015379,"{'n_neighbors': 30, 'weights': 'distance', 'p': 1}",541151239,,False
gse,kNearestNeighbor,target metric,14,49293.29710441153,"{'n_neighbors': 44, 'weights': 'uniform', 'p': 1}",655860228,,False
gse,kNearestNeighbor,target metric,15,60212.18710345453,"{'n_neighbors': 98, 'weights': 'uniform', 'p': 1}",872036739,,False
gse,kNearestNeighbor,target metric,16,37332.59005306464,"{'n_neighbors': 4, 'weights': 'uniform', 'p': 2}",16650925,,False
gse,kNearestNeighbor,target metric,17,38240.92864988471,"{'n_neighbors': 16, 'weights': 'distance', 'p': 1}",4245651580,,False
gse,kNearestNeighbor,target metric,18,53737.25650729431,"{'n_neighbors': 63, 'weights': 'uniform', 'p': 2}",408007800,,False
gse,kNearestNeighbor,target metric,19,40751.82916256861,"{'n_neighbors': 19, 'weights': 'uniform', 'p': 2}",2848556916,,False
gse,kNearestNeighbor,target metric,20,47368.11380345812,"{'n_neighbors': 36, 'weights': 'uniform', 'p': 1}",1799379469,,False
gse,kNearestNeighbor,target metric,21,41745.62139733914,"{'n_neighbors': 21, 'weights': 'uniform', 'p': 1}",2531557113,,False
